Time,Planet0_x,Planet1_x,Planet2_x,Planet3_x,Planet0_y,Planet1_y,Planet2_y,Planet3_y
1.03,-0.172841,-0.0789825,-0.579071,-0.683097,0.438205,0.248236,-0.673383,-0.61649
1.04,-0.174432,-0.0548404,-0.592034,-0.700866,0.42766,0.270794,-0.680554,-0.587474
1.05,-0.17481,-0.0341919,-0.606431,-0.715092,0.415427,0.297663,-0.686272,-0.56106
1.06,-0.173417,-0.0185765,-0.621713,-0.727,0.401628,0.328508,-0.690697,-0.5369
1.07,-0.169645,-0.00966982,-0.637567,-0.737287,0.386635,0.362312,-0.693978,-0.514666
1.08,-0.162993,-0.00885816,-0.653798,-0.746378,0.37114,0.397177,-0.696238,-0.494088
1.09,-0.153289,-0.0166163,-0.670278,-0.754552,0.356094,0.430489,-0.697573,-0.474953
1.1,-0.140847,-0.0320909,-0.686917,-0.761999,0.342467,0.459585,-0.698065,-0.45709
1.11,-0.126382,-0.0533194,-0.703647,-0.768853,0.330946,0.482576,-0.697776,-0.44036
1.12,-0.110751,-0.0779552,-0.72042,-0.775217,0.321798,0.498738,-0.696761,-0.424654
1.13,-0.0947063,-0.103931,-0.737195,-0.781165,0.314942,0.508297,-0.695065,-0.409881
1.14,-0.078799,-0.12974,-0.753941,-0.786759,0.31011,0.511999,-0.692726,-0.395967
1.15,-0.0633842,-0.154408,-0.770633,-0.792048,0.306975,0.510745,-0.689778,-0.382849
1.16,-0.0486722,-0.177359,-0.787249,-0.797073,0.305225,0.505398,-0.686249,-0.370476
1.17,-0.0347772,-0.198285,-0.803772,-0.801869,0.30459,0.496713,-0.682164,-0.358802
1.18,-0.0217536,-0.217036,-0.820186,-0.806465,0.304842,0.485318,-0.677545,-0.347788
1.19,-0.00962017,-0.233564,-0.836477,-0.810888,0.305795,0.47173,-0.672412,-0.337403
1.2,0.00162515,-0.247877,-0.852631,-0.815163,0.307296,0.456372,-0.666781,-0.327616
1.21,0.0119958,-0.260015,-0.868639,-0.819309,0.309221,0.439591,-0.660666,-0.318401
1.22,0.0215115,-0.270033,-0.884488,-0.823347,0.311466,0.421677,-0.654081,-0.309737
1.23,0.0301943,-0.277997,-0.900169,-0.827295,0.313945,0.40287,-0.647038,-0.301602
1.24,0.0380676,-0.283972,-0.91567,-0.83117,0.316582,0.383377,-0.639546,-0.29398
1.25,0.0451544,-0.288025,-0.930983,-0.834988,0.319316,0.363375,-0.631614,-0.286854
1.26,0.0514766,-0.290222,-0.946095,-0.838764,0.322089,0.34302,-0.623251,-0.28021
1.27,0.0570554,-0.290623,-0.960998,-0.842513,0.324852,0.32245,-0.614465,-0.274038
1.28,0.0619104,-0.289288,-0.975681,-0.846251,0.32756,0.301792,-0.605261,-0.268326
1.29,0.0660602,-0.286272,-0.990132,-0.849992,0.330172,0.281162,-0.595645,-0.263066
1.3,0.0695223,-0.281627,-1.00434,-0.853753,0.332648,0.26067,-0.585624,-0.258253
1.31,0.072313,-0.275405,-1.01829,-0.85755,0.334953,0.24042,-0.575202,-0.253879
1.32,0.0744478,-0.267652,-1.03198,-0.861401,0.337051,0.220515,-0.564385,-0.249944
1.33,0.0759417,-0.258414,-1.04539,-0.865325,0.338906,0.201056,-0.553177,-0.246443
1.34,0.076809,-0.247735,-1.0585,-0.869344,0.340483,0.182142,-0.541584,-0.243378
1.35,0.0770639,-0.235657,-1.07131,-0.873482,0.341748,0.163876,-0.529609,-0.240749
1.36,0.0767205,-0.222221,-1.0838,-0.877766,0.342665,0.146364,-0.517258,-0.238558
1.37,0.0757931,-0.20747,-1.09595,-0.882225,0.343197,0.129714,-0.504535,-0.236807
1.38,0.0742967,-0.191446,-1.10775,-0.886893,0.343305,0.114039,-0.491446,-0.2355
1.39,0.0722472,-0.174194,-1.11918,-0.891808,0.342947,0.0994582,-0.477995,-0.234638
1.4,0.0696622,-0.155762,-1.13023,-0.897012,0.342081,0.0860998,-0.464186,-0.234226
1.41,0.066561,-0.136201,-1.14086,-0.902552,0.340659,0.0740996,-0.450026,-0.234264
1.42,0.0629662,-0.115574,-1.15106,-0.908479,0.33863,0.0636047,-0.43552,-0.234755
1.43,0.0589041,-0.0939503,-1.16081,-0.914853,0.335938,0.0547751,-0.420674,-0.235695
1.44,0.0544064,-0.0714154,-1.17007,-0.921738,0.332522,0.0477864,-0.405494,-0.237084
1.45,0.0495124,-0.0480746,-1.17883,-0.929208,0.328313,0.0428316,-0.389988,-0.238914
1.46,0.0442712,-0.0240607,-1.18703,-0.937344,0.323236,0.0401243,-0.374165,-0.241176
1.47,0.0387455,0.000456021,-1.19465,-0.946241,0.317206,0.0399011,-0.358035,-0.243853
1.48,0.0330168,0.0252536,-1.20164,-0.956005,0.310129,0.0424229,-0.341614,-0.246922
1.49,0.0271925,0.0500391,-1.20795,-0.966758,0.301904,0.047974,-0.32492,-0.250351
1.5,0.0214149,0.074422,-1.2135,-0.978645,0.292422,0.0568566,-0.307976,-0.254091
1.51,0.0158751,0.0978787,-1.21824,-0.991829,0.281575,0.0693749,-0.290817,-0.258073
1.52,0.0108282,0.119708,-1.22207,-1.00651,0.269264,0.0858004,-0.27349,-0.262198
1.53,0.00661136,0.138983,-1.2249,-1.02291,0.255428,0.106305,-0.256062,-0.266321
1.54,0.00365587,0.154518,-1.22659,-1.04131,0.240086,0.13084,-0.238632,-0.270229
1.55,0.00247666,0.164897,-1.22702,-1.06202,0.223404,0.158952,-0.221344,-0.273603
1.56,0.00361045,0.168642,-1.22602,-1.08539,0.205776,0.189565,-0.204417,-0.275962
1.57,0.00747693,0.1646,-1.22345,-1.11176,0.18787,0.220845,-0.188181,-0.27657
1.58,0.0141921,0.15245,-1.2192,-1.14135,0.170566,0.250378,-0.173133,-0.27432
1.59,0.0234513,0.133032,-1.21337,-1.17397,0.154744,0.275748,-0.159978,-0.267638
1.6,0.0345987,0.108148,-1.20642,-1.20854,0.141037,0.295221,-0.149559,-0.254637
1.61,0.0468454,0.0799685,-1.19944,-1.24265,0.129706,0.308083,-0.142512,-0.233893
1.62,0.0594791,0.0504531,-1.19385,-1.27308,0.120694,0.314491,-0.138718,-0.205687
1.63,0.0719636,0.0210766,-1.19072,-1.29744,0.113762,0.315114,-0.137181,-0.172262
1.64,0.0839416,-0.00717774,-1.19028,-1.31519,0.108599,0.310804,-0.136624,-0.1365
1.65,0.0951957,-0.0337119,-1.19217,-1.32716,0.1049,0.302405,-0.13608,-0.10058
1.66,0.105605,-0.0581929,-1.19587,-1.33454,0.102391,0.290671,-0.135014,-0.0657126
1.67,0.11511,-0.0804581,-1.20088,-1.33842,0.100841,0.276243,-0.133187,-0.0324392
1.68,0.12369,-0.10045,-1.20683,-1.33964,0.100055,0.259656,-0.13052,-0.000943538
1.69,0.131347,-0.118174,-1.21344,-1.33883,0.0998729,0.241354,-0.127009,0.0287613
1.7,0.138096,-0.133671,-1.22051,-1.33644,0.100163,0.221704,-0.122685,0.0567367
1.71,0.143958,-0.147002,-1.22788,-1.33283,0.100815,0.201012,-0.11759,0.083072
1.72,0.148959,-0.158239,-1.23545,-1.32824,0.101735,0.179538,-0.111769,0.107863
1.73,0.153126,-0.167456,-1.24312,-1.32286,0.102845,0.157504,-0.105268,0.1312
1.74,0.156486,-0.174728,-1.25082,-1.31687,0.104076,0.135099,-0.0981269,0.15317
