time,x(t),x'(t)
4.01,0.452834,1.71436
4.02,0.469875,1.69384
4.03,0.486711,1.67352
4.04,0.503346,1.65339
4.05,0.51978,1.63348
4.06,0.536016,1.61379
4.07,0.552057,1.59433
4.08,0.567904,1.57509
4.09,0.583559,1.55609
4.1,0.599026,1.53732
4.11,0.614307,1.51879
4.12,0.629403,1.50048
4.13,0.644317,1.4824
4.14,0.659051,1.46455
4.15,0.673609,1.44693
4.16,0.687991,1.42952
4.17,0.7022,1.41233
4.18,0.716238,1.39535
4.19,0.730107,1.37857
4.2,0.74381,1.362
4.21,0.757348,1.34563
4.22,0.770723,1.32945
4.23,0.783938,1.31346
4.24,0.796993,1.29766
4.25,0.809892,1.28203
4.26,0.822634,1.26658
4.27,0.835224,1.25131
4.28,0.847661,1.2362
4.29,0.859948,1.22125
4.3,0.872087,1.20647
4.31,0.884078,1.19184
4.32,0.895924,1.17736
4.33,0.907626,1.16302
4.34,0.919185,1.14883
4.35,0.930603,1.13479
4.36,0.941881,1.12087
4.37,0.953021,1.10709
4.38,0.964023,1.09344
4.39,0.97489,1.07992
4.4,0.985622,1.06652
4.41,0.996221,1.05324
4.42,1.00669,1.04008
4.43,1.01702,1.02703
4.44,1.02723,1.0141
4.45,1.03731,1.00127
4.46,1.04725,0.988546
4.47,1.05708,0.975928
4.48,1.06677,0.963411
4.49,1.07635,0.950993
4.5,1.08579,0.938671
4.51,1.09512,0.926443
4.52,1.10432,0.914306
4.53,1.11341,0.902259
4.54,1.12237,0.890299
4.55,1.13121,0.878424
4.56,1.13994,0.866633
4.57,1.14854,0.854923
4.58,1.15704,0.843293
4.59,1.16541,0.83174
4.6,1.17367,0.820263
4.61,1.18182,0.80886
4.62,1.18985,0.797529
4.63,1.19777,0.786269
4.64,1.20557,0.775078
4.65,1.21327,0.763954
4.66,1.22085,0.752897
4.67,1.22833,0.741904
4.68,1.23569,0.730973
4.69,1.24295,0.720105
4.7,1.25009,0.709296
4.71,1.25713,0.698546
4.72,1.26406,0.687854
4.73,1.27089,0.677218
4.74,1.27761,0.666637
4.75,1.28422,0.656109
4.76,1.29073,0.645634
4.77,1.29714,0.635211
4.78,1.30344,0.624837
4.79,1.30963,0.614512
4.8,1.31573,0.604236
4.81,1.32172,0.594006
4.82,1.32761,0.583822
4.83,1.33339,0.573683
4.84,1.33908,0.563587
4.85,1.34467,0.553534
4.86,1.35015,0.543523
4.87,1.35554,0.533553
4.88,1.36082,0.523623
4.89,1.36601,0.513731
4.9,1.3711,0.503878
4.91,1.37609,0.494062
4.92,1.38098,0.484282
4.93,1.38577,0.474538
4.94,1.39047,0.464828
4.95,1.39507,0.455152
4.96,1.39957,0.445509
4.97,1.40398,0.435899
4.98,1.40829,0.42632
4.99,1.41251,0.416771
5,1.41663,0.407253
5.01,1.42065,0.397763
5.02,1.42458,0.388303
5.03,1.42842,0.378869
5.04,1.43216,0.369463
5.05,1.43581,0.360084
5.06,1.43936,0.35073
5.07,1.44282,0.341401
5.08,1.44619,0.332096
5.09,1.44946,0.322815
5.1,1.45265,0.313557
5.11,1.45573,0.304322
5.12,1.45873,0.295108
5.13,1.46164,0.285915
5.14,1.46445,0.276743
5.15,1.46717,0.267591
5.16,1.4698,0.258458
5.17,1.47234,0.249344
5.18,1.47479,0.240247
5.19,1.47715,0.231169
5.2,1.47941,0.222107
5.21,1.48159,0.213062
5.22,1.48367,0.204033
5.23,1.48567,0.195019
5.24,1.48757,0.186019
5.25,1.48939,0.177034
5.26,1.49111,0.168063
5.27,1.49275,0.159104
5.28,1.4943,0.150158
5.29,1.49575,0.141225
5.3,1.49712,0.132302
5.31,1.4984,0.123391
5.32,1.49959,0.11449
5.33,1.50069,0.105599
5.34,1.5017,0.0967173
5.35,1.50262,0.0878446
5.36,1.50346,0.0789803
5.37,1.5042,0.0701238
5.38,1.50486,0.0612747
5.39,1.50543,0.0524326
5.4,1.50591,0.0435967
